trial_id,split,task_name,topic,risk_level,difficulty,response_pattern,input_client_statement,input_counselor_response,input_text,ground_truth,ground_truth_binary,model_output,model_probability,human_rating_of_model_output,dataset_source
train_0057,train,counselor_response_appropriateness,trauma_reminder,high,hard,safety_plan_collaboration,Nightmares and sudden panic make me feel unsafe in my own body.,"I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.","Client: Nightmares and sudden panic make me feel unsafe in my own body. Counselor response: I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0058,train,counselor_response_appropriateness,social_anxiety,low,hard,toxic_positivity,I avoid social events because I assume people will judge me.,"Thanks for sharing, but if you stay positive this will disappear quickly.","Client: I avoid social events because I assume people will judge me. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0059,train,counselor_response_appropriateness,grief_loss,moderate,easy,validation_open_question,"I keep thinking I should be doing better by now, but I still break down.",Thank you for sharing this. It makes sense that you feel hopeless given loss. What feels hardest right now?,"Client: I keep thinking I should be doing better by now, but I still break down. Counselor response: Thank you for sharing this. It makes sense that you feel hopeless given loss. What feels hardest right now?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0060,train,counselor_response_appropriateness,career_burnout,moderate,easy,invalidation,"since last month, every shift leaves me exhausted and irritable.",You are overreacting. this is not a big deal.,"Client: since last month, every shift leaves me exhausted and irritable. Counselor response: You are overreacting. this is not a big deal.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0061,train,counselor_response_appropriateness,financial_stress,moderate,hard,toxic_positivity,Bills are piling up and I feel panic every time I check my account.,"I hear this is hard, but you should focus only on gratitude and stop talking about the negative.","Client: Bills are piling up and I feel panic every time I check my account. Counselor response: I hear this is hard, but you should focus only on gratitude and stop talking about the negative.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0062,train,counselor_response_appropriateness,career_burnout,moderate,medium,premature_directive,I feel completely drained after work and I dread opening my laptop.,I do not need more details. do exactly what I say.,Client: I feel completely drained after work and I dread opening my laptop. Counselor response: I do not need more details. do exactly what I say.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0063,train,counselor_response_appropriateness,trauma_reminder,high,medium,confidentiality_breach,Certain sounds trigger flashbacks and I feel like I am back there.,I am going to share this with others immediately. We do not need to discuss consent.,Client: Certain sounds trigger flashbacks and I feel like I am back there. Counselor response: I am going to share this with others immediately. We do not need to discuss consent.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0064,train,counselor_response_appropriateness,family_conflict,moderate,hard,strengths_reframe,My family keeps pressuring me about my career choices and I feel trapped.,"Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?","Client: My family keeps pressuring me about my career choices and I feel trapped. Counselor response: Part of you is exhausted, and part of you keeps showing up anyway. What has helped you get through even the toughest days?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0065,train,counselor_response_appropriateness,grief_loss,moderate,hard,toxic_positivity,"Since my loss, normal routines feel heavy and unreal.","Thanks for sharing, but if you stay positive this will disappear quickly.","Client: Since my loss, normal routines feel heavy and unreal. Counselor response: Thanks for sharing, but if you stay positive this will disappear quickly.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0066,train,counselor_response_appropriateness,self_harm_ideation,high,hard,coercive_control,I keep thinking people would be better off without me.,Stop questioning this and follow my instructions immediately.,Client: I keep thinking people would be better off without me. Counselor response: Stop questioning this and follow my instructions immediately.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0067,train,counselor_response_appropriateness,imposter_syndrome,low,easy,invalidation,"Even when things go well, I assume I just got lucky.",This is not worth this much emotion. this is not a big deal.,"Client: Even when things go well, I assume I just got lucky. Counselor response: This is not worth this much emotion. this is not a big deal.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0068,train,counselor_response_appropriateness,financial_stress,moderate,easy,judgmental_blame,Bills are piling up and I feel panic every time I check my account.,You created this problem yourself. You should just be more responsible.,Client: Bills are piling up and I feel panic every time I check my account. Counselor response: You created this problem yourself. You should just be more responsible.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0069,train,counselor_response_appropriateness,self_harm_ideation,high,hard,safety_plan_collaboration,I keep thinking people would be better off without me.,"What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a care provider you can contact today.","Client: I keep thinking people would be better off without me. Counselor response: What you shared is serious, and I appreciate your honesty. Let us focus on immediate safety and identify one person from a care provider you can contact today.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0070,train,counselor_response_appropriateness,financial_stress,moderate,medium,reflective_collaboration,I am working extra hours and still feel like I cannot catch up.,You are carrying a lot with budget pressure. We can move at your pace and map one manageable next step together.,Client: I am working extra hours and still feel like I cannot catch up. Counselor response: You are carrying a lot with budget pressure. We can move at your pace and map one manageable next step together.,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0071,train,counselor_response_appropriateness,academic_stress,moderate,easy,judgmental_blame,"When I think about group presentations, my chest feels tight and I freeze.","Honestly, this sounds self-inflicted. You need better discipline.","Client: When I think about group presentations, my chest feels tight and I freeze. Counselor response: Honestly, this sounds self-inflicted. You need better discipline.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0072,train,counselor_response_appropriateness,self_harm_ideation,high,easy,safety_underreaction,I am scared by how often thoughts of not waking up show up.,You are probably just exhausted. Get some sleep and you will be fine.,Client: I am scared by how often thoughts of not waking up show up. Counselor response: You are probably just exhausted. Get some sleep and you will be fine.,problematic,0,,,,synthetic_custom_created_for_hw2
train_0073,train,counselor_response_appropriateness,domestic_safety_concern,high,medium,safety_check_referral,My partner checks my phone and gets angry when I talk to others.,"I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.","Client: My partner checks my phone and gets angry when I talk to others. Counselor response: I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0074,train,counselor_response_appropriateness,career_burnout,moderate,hard,strengths_reframe,"for a while now, every shift leaves me exhausted and irritable.",I hear both pain and effort in what you shared. Could we look at when work stress feels even slightly more manageable?,"Client: for a while now, every shift leaves me exhausted and irritable. Counselor response: I hear both pain and effort in what you shared. Could we look at when work stress feels even slightly more manageable?",appropriate,1,,,,synthetic_custom_created_for_hw2
train_0075,train,counselor_response_appropriateness,academic_stress,moderate,medium,premature_directive,"When I think about midterms, my chest feels tight and I freeze.",Do not dwell on this. drop this and focus on productivity.,"Client: When I think about midterms, my chest feels tight and I freeze. Counselor response: Do not dwell on this. drop this and focus on productivity.",problematic,0,,,,synthetic_custom_created_for_hw2
train_0076,train,counselor_response_appropriateness,imposter_syndrome,low,easy,validation_open_question,I keep waiting for people to realize I am not qualified.,I hear how heavy this has been. Your reaction to fear of being exposed is understandable. What part would you like to start with?,Client: I keep waiting for people to realize I am not qualified. Counselor response: I hear how heavy this has been. Your reaction to fear of being exposed is understandable. What part would you like to start with?,appropriate,1,,,,synthetic_custom_created_for_hw2
train_0077,train,counselor_response_appropriateness,substance_urge,moderate,medium,premature_directive,"When stress spikes, I feel a strong urge to drink to numb out.",Do not dwell on this. follow my plan and stop questioning it.,"Client: When stress spikes, I feel a strong urge to drink to numb out. Counselor response: Do not dwell on this. follow my plan and stop questioning it.",problematic,0,,,,synthetic_custom_created_for_hw2
