trial_id,topic,risk_level,difficulty,response_pattern,input_client_statement,input_counselor_response,ground_truth,model_output,model_probability
study_0094,trauma_reminder,high,hard,coercive_control,"I avoid places that remind me of what happened, but it keeps intruding.","You need to do exactly what I say right now. If you disagree, there is no point continuing.",problematic,appropriate,0.9932
study_0095,career_burnout,moderate,medium,reflective_collaboration,I feel completely drained after work and I dread opening my laptop.,You are carrying a lot with work stress. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.3068
study_0098,trauma_reminder,high,hard,coercive_control,"I avoid places that remind me of what happened, but it keeps intruding.",Stop questioning this and follow my instructions immediately.,problematic,appropriate,0.9625
study_0107,trauma_reminder,high,hard,coercive_control,Certain sounds trigger flashbacks and I feel like I am back there.,"You need to do exactly what I say right now. If you disagree, there is no point continuing.",problematic,appropriate,0.9215
study_0123,domestic_safety_concern,high,hard,safety_plan_collaboration,"At home I feel watched and controlled, and I do not feel safe.","I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.",appropriate,problematic,0.1623
study_0139,sleep_dysregulation,low,medium,reflective_collaboration,I wake up exhausted even when I am in bed all night.,You are carrying a lot with nighttime rumination. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.3512
study_0140,substance_urge,moderate,easy,validation_open_question,"After hard days, I rely on substances to turn my brain off.",I hear how heavy this has been. Your reaction to coping with cravings is understandable. What part would you like to start with?,appropriate,problematic,0.448
study_0142,self_harm_ideation,high,medium,safety_check_referral,I keep thinking people would be better off without me.,"I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,problematic,0.1319
study_0155,financial_stress,moderate,medium,reflective_collaboration,Money stress is affecting my sleep and concentration.,You are carrying a lot with money anxiety. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.4941
study_0161,trauma_reminder,high,medium,confidentiality_breach,"I avoid places that remind me of what happened, but it keeps intruding.",I will contact your family and supervisor right away without asking you first.,problematic,appropriate,0.9961
study_0166,domestic_safety_concern,high,medium,safety_check_referral,"At home I feel watched and controlled, and I do not feel safe.","I am really glad you told me. Your safety matters. Are you in immediate danger right now? If yes, contact 988 or emergency services while we plan immediate support.",appropriate,problematic,0.0762
study_0170,imposter_syndrome,low,easy,validation_open_question,I keep waiting for people to realize I am not qualified.,I hear how heavy this has been. Your reaction to imposter feelings is understandable. What part would you like to start with?,appropriate,problematic,0.3374
study_0172,financial_stress,moderate,medium,reflective_collaboration,Bills are piling up and I feel panic every time I check my account.,You are carrying a lot with budget pressure. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.3068
study_0173,self_harm_ideation,high,medium,safety_check_referral,Sometimes I wish I could disappear because this all feels pointless.,"Thank you for sharing this. I want to prioritize your safety first. Are you currently safe? If there is immediate risk, please call 988 or local emergency services now.",appropriate,problematic,0.487
study_0179,domestic_safety_concern,high,hard,safety_plan_collaboration,My partner checks my phone and gets angry when I talk to others.,"I hear how intense this is. Before anything else, let us make a short safety plan for the next 24 hours and connect you with direct support.",appropriate,problematic,0.2114
study_0182,substance_urge,moderate,medium,reflective_collaboration,"When stress spikes, I feel a strong urge to drink to numb out.",You are carrying a lot with stress coping. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.4572
study_0185,grief_loss,moderate,medium,reflective_collaboration,"I keep thinking I should be doing better by now, but I still break down.",You are carrying a lot with loss. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.3512
study_0209,identity_stress,low,easy,invalidation,I feel pulled between cultural expectations and what I want for myself.,You are overreacting. you just need to be positive.,problematic,appropriate,0.8633
study_0228,imposter_syndrome,low,medium,reflective_collaboration,I keep waiting for people to realize I am not qualified.,You are carrying a lot with imposter feelings. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.0341
study_0234,identity_stress,low,medium,reflective_collaboration,"I am not sure where I fit, and it leaves me feeling disconnected.",You are carrying a lot with cultural pressure. We can move at your pace and map one manageable next step together.,appropriate,problematic,0.3566
study_0237,identity_stress,low,hard,toxic_positivity,I feel pulled between cultural expectations and what I want for myself.,"I hear this is hard, but you should focus only on gratitude and stop talking about the negative.",problematic,appropriate,0.7726
